model,dataset,mode,prompt_version,opt_seed,ref_field,eval_code_rev,timestamp_utc,score_file,overall_acc,parsed_rate,n,acc:MINE,f1:MINE,n:MINE,pred_frac:MINE,acc:PERSON_k,f1:PERSON_k,n:PERSON_k,pred_frac:PERSON_k,acc:SHARED,f1:SHARED,n:SHARED,pred_frac:SHARED,acc:AMBIGUOUS,f1:AMBIGUOUS,n:AMBIGUOUS,pred_frac:AMBIGUOUS,macro_f1,abstain_precision,abstain_recall,over_abstention_rate,acc:taxonomy=A,n:taxonomy=A,acc:taxonomy=B,n:taxonomy=B,acc:taxonomy=C,n:taxonomy=C,acc:taxonomy=D,n:taxonomy=D,acc:source_dataset=ego4d,n:source_dataset=ego4d,acc:source_dataset=egolife,n:source_dataset=egolife,acc:source_dataset=hd_epic,n:source_dataset=hd_epic,serving_artifact_suspected,exclude_from_main_table,acc:source_dataset=ego4d_fho,n:source_dataset=ego4d_fho,acc:source_dataset=epic_kitchens,n:source_dataset=epic_kitchens
EgoSweep_Claude,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:27:12+00:00,EgoSweep_Claude/EgoSweep_Claude_EgoOwn_Blind_score.json,0.2094824914781531,1.0,3227,0.18598615916955016,0.2722,1156,0.13139138518748064,0.12418300653594772,0.1863,1224,0.12643321970870777,0.3170731707317073,0.344,697,0.1822125813449024,0.5866666666666667,0.0899,150,0.5599628137589092,0.2231,0.0487,0.5867,0.5587,0.20012626262626262,1584.0,0.19383259911894274,1362.0,0.2598870056497175,177.0,0.47115384615384615,104.0,0.1806036615536863,2021.0,0.3103953147877013,683.0,0.18929254302103252,523.0,,,,,,
EgoSweep_Claude,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:26:11+00:00,EgoSweep_Claude/EgoSweep_Claude_EgoOwn_Single_score.json,0.347179169249845,1.0,3226,0.45021645021645024,0.4842,1155,0.3078115313081215,0.11683006535947713,0.1827,1224,0.10570365778053317,0.6169296987087518,0.3941,697,0.4603223806571606,0.18,0.0969,150,0.12616243025418475,0.2895,0.0663,0.18,0.1235,0.3888888888888889,1584.0,0.3071271124173402,1361.0,0.3502824858757062,177.0,0.23076923076923078,104.0,0.28896585848589806,2021.0,0.4128843338213763,683.0,0.48659003831417624,522.0,,,,,,
EgoSweep_Claude,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:26:45+00:00,EgoSweep_Claude/EgoSweep_Claude_EgoOwn_score.json,0.3653548187170747,1.0,3227,0.44982698961937717,0.4858,1156,0.30523706228695385,0.14133986928104575,0.2186,1224,0.11124883792996591,0.6628407460545194,0.4145,697,0.47474434459250076,0.16,0.0958,150,0.10876975519057949,0.3037,0.0684,0.16,0.1063,0.40214646464646464,1584.0,0.32819383259911894,1362.0,0.4293785310734463,177.0,0.18269230769230768,104.0,0.31964374072241464,2021.0,0.465592972181552,683.0,0.4110898661567878,523.0,,,,,,
T20260718-110608,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-18T11:30:11+00:00,EgoSweep_Claude/T20260718-110608/EgoSweep_Claude_EgoOwn_Blind_score.json,0.2094824914781531,1.0,3227,0.18598615916955016,0.2722,1156,0.13139138518748064,0.12418300653594772,0.1863,1224,0.12643321970870777,0.3170731707317073,0.344,697,0.1822125813449024,0.5866666666666667,0.0899,150,0.5599628137589092,0.2231,0.0487,0.5867,0.5587,0.20012626262626262,1584.0,0.19383259911894274,1362.0,0.2598870056497175,177.0,0.47115384615384615,104.0,0.1806036615536863,2021.0,0.3103953147877013,683.0,0.18929254302103252,523.0,,,,,,
T20260718-110608,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-18T11:14:32+00:00,EgoSweep_Claude/T20260718-110608/EgoSweep_Claude_EgoOwn_Single_score.json,0.347179169249845,1.0,3226,0.45021645021645024,0.4842,1155,0.3078115313081215,0.11683006535947713,0.1827,1224,0.10570365778053317,0.6169296987087518,0.3941,697,0.4603223806571606,0.18,0.0969,150,0.12616243025418475,0.2895,0.0663,0.18,0.1235,0.3888888888888889,1584.0,0.3071271124173402,1361.0,0.3502824858757062,177.0,0.23076923076923078,104.0,0.28896585848589806,2021.0,0.4128843338213763,683.0,0.48659003831417624,522.0,,,,,,
T20260718-110608,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-18T11:24:52+00:00,EgoSweep_Claude/T20260718-110608/EgoSweep_Claude_EgoOwn_score.json,0.3653548187170747,1.0,3227,0.44982698961937717,0.4858,1156,0.30523706228695385,0.14133986928104575,0.2186,1224,0.11124883792996591,0.6628407460545194,0.4145,697,0.47474434459250076,0.16,0.0958,150,0.10876975519057949,0.3037,0.0684,0.16,0.1063,0.40214646464646464,1584.0,0.32819383259911894,1362.0,0.4293785310734463,177.0,0.18269230769230768,104.0,0.31964374072241464,2021.0,0.465592972181552,683.0,0.4110898661567878,523.0,,,,,,
T20260718-122432,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:25:19+00:00,EgoSweep_Claude/T20260718-122432/EgoSweep_Claude_EgoOwn_Blind_score.json,0.2094824914781531,1.0,3227,0.18598615916955016,0.2722,1156,0.13139138518748064,0.12418300653594772,0.1863,1224,0.12643321970870777,0.3170731707317073,0.344,697,0.1822125813449024,0.5866666666666667,0.0899,150,0.5599628137589092,0.2231,0.0487,0.5867,0.5587,0.20012626262626262,1584.0,0.19383259911894274,1362.0,0.2598870056497175,177.0,0.47115384615384615,104.0,0.1806036615536863,2021.0,0.3103953147877013,683.0,0.18929254302103252,523.0,,,,,,
T20260718-122432,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:24:45+00:00,EgoSweep_Claude/T20260718-122432/EgoSweep_Claude_EgoOwn_Single_score.json,0.347179169249845,1.0,3226,0.45021645021645024,0.4842,1155,0.3078115313081215,0.11683006535947713,0.1827,1224,0.10570365778053317,0.6169296987087518,0.3941,697,0.4603223806571606,0.18,0.0969,150,0.12616243025418475,0.2895,0.0663,0.18,0.1235,0.3888888888888889,1584.0,0.3071271124173402,1361.0,0.3502824858757062,177.0,0.23076923076923078,104.0,0.28896585848589806,2021.0,0.4128843338213763,683.0,0.48659003831417624,522.0,,,,,,
T20260718-122432,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:25:04+00:00,EgoSweep_Claude/T20260718-122432/EgoSweep_Claude_EgoOwn_score.json,0.3653548187170747,1.0,3227,0.44982698961937717,0.4858,1156,0.30523706228695385,0.14133986928104575,0.2186,1224,0.11124883792996591,0.6628407460545194,0.4145,697,0.47474434459250076,0.16,0.0958,150,0.10876975519057949,0.3037,0.0684,0.16,0.1063,0.40214646464646464,1584.0,0.32819383259911894,1362.0,0.4293785310734463,177.0,0.18269230769230768,104.0,0.31964374072241464,2021.0,0.465592972181552,683.0,0.4110898661567878,523.0,,,,,,
T20260719-002546,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:27:12+00:00,EgoSweep_Claude/T20260719-002546/EgoSweep_Claude_EgoOwn_Blind_score.json,0.2094824914781531,1.0,3227,0.18598615916955016,0.2722,1156,0.13139138518748064,0.12418300653594772,0.1863,1224,0.12643321970870777,0.3170731707317073,0.344,697,0.1822125813449024,0.5866666666666667,0.0899,150,0.5599628137589092,0.2231,0.0487,0.5867,0.5587,0.20012626262626262,1584.0,0.19383259911894274,1362.0,0.2598870056497175,177.0,0.47115384615384615,104.0,0.1806036615536863,2021.0,0.3103953147877013,683.0,0.18929254302103252,523.0,,,,,,
